customer_id,customer_fname,customer_lname,customer_segment,customer_street,customer_zipcode,customer_city,customer_state,customer_country
20755,Cally,Holloway,Consumer,5365 Noble Nectar Island,725.0,Caguas,PR,Puerto Rico
19492,Irene,Luna,Consumer,2679 Rustic Loop,725.0,Caguas,PR,Puerto Rico
19491,Gillian,Maldonado,Consumer,8510 Round Bear Gate,95125.0,San Jose,CA,EE. UU.
19490,Tana,Tate,Home Office,3200 Amber Bend,90027.0,Los Angeles,CA,EE. UU.
19489,Orli,Hendricks,Corporate,8671 Iron Anchor Corners,725.0,Caguas,PR,Puerto Rico
19488,Kimberly,Flowers,Consumer,2122 Hazy Corner,14150.0,Tonawanda,NY,EE. UU.
19487,Constance,Terrell,Home Office,1879 Green Pine Bank,725.0,Caguas,PR,Puerto Rico
19486,Erica,Stevens,Corporate,7595 Cotton Log Row,33162.0,Miami,FL,EE. UU.
19485,Nichole,Olsen,Corporate,2051 Dusty Route,725.0,Caguas,PR,Puerto Rico
19484,Oprah,Delacruz,Corporate,9139 Blue Blossom Court,94583.0,San Ramon,CA,EE. UU.
19483,Germane,Short,Corporate,4058 Quiet Heights,725.0,Caguas,PR,Puerto Rico
19482,Freya,Robbins,Consumer,3243 Shady Corner,11520.0,Freeport,NY,EE. UU.
19481,Cassandra,Jensen,Corporate,131 Sunny Treasure Green,93905.0,Salinas,CA,EE. UU.
19480,Natalie,Mcfadden,Corporate,2531 Wishing Square,725.0,Caguas,PR,Puerto Rico
19479,Kimberley,Sharpe,Corporate,6417 Silver Towers,1960.0,Peabody,MA,EE. UU.
19478,Sade,Lancaster,Corporate,257 Harvest Close,725.0,Caguas,PR,Puerto Rico
19477,Brynne,Giles,Corporate,7342 Hazy Beacon Park,729.0,Canovanas,PR,Puerto Rico
19476,Ciara,Bird,Corporate,7787 Lazy Corners,90723.0,Paramount,CA,EE. UU.
19475,Bo,Griffin,Consumer,5136 Rustic Pioneer Estates,725.0,Caguas,PR,Puerto Rico
19474,Kim,Simon,Consumer,1723 Tawny Via,60056.0,Mount Prospect,IL,EE. UU.
19473,Kellie,Farmer,Corporate,7111 Silent Fox Gardens,90813.0,Long Beach,CA,EE. UU.
19472,Alma,Conley,Corporate,3732 Old Mountain Bank,725.0,Caguas,PR,Puerto Rico
19471,Yeo,Bird,Corporate,6217 Rustic Lake Forest,95670.0,Rancho Cordova,CA,EE. UU.
19470,Lucy,Mcknight,Corporate,1082 Quiet Treasure Link,725.0,Caguas,PR,Puerto Rico
19469,Simone,Vance,Corporate,3176 Round Gate,59102.0,Billings,MT,EE. UU.
19468,Roary,Wheeler,Corporate,1426 Fallen Line,725.0,Caguas,PR,Puerto Rico
19467,Quail,Ashley,Consumer,9814 Emerald Prairie Limits,18702.0,Wilkes Barre,PA,EE. UU.
19466,Hannah,Velez,Corporate,8271 Tawny Elk Abbey,725.0,Caguas,PR,Puerto Rico
19465,Evelyn,Kelly,Corporate,3931 Gentle Ramp,48066.0,Roseville,MI,EE. UU.
19464,Jael,Mcfarland,Consumer,9699 Honey Rise,90706.0,Bellflower,CA,EE. UU.
19463,Teagan,Romero,Consumer,1564 Rocky Terrace,725.0,Caguas,PR,Puerto Rico
19462,Joan,Wilder,Consumer,4294 High Passage,60187.0,Wheaton,IL,EE. UU.
19461,Basia,Watts,Consumer,5918 Golden Beacon Freeway,725.0,Caguas,PR,Puerto Rico
19460,Dominique,Rogers,Consumer,3915 Broad Lookout,48238.0,Detroit,MI,EE. UU.
19459,Ainsley,Mathis,Consumer,7190 Silver Horse Glade,75220.0,Dallas,TX,EE. UU.
19458,Aurora,Sharp,Corporate,830 Broad Beacon Maze,725.0,Caguas,PR,Puerto Rico
19457,Libby,Bray,Corporate,6127 Dewy Goose Downs,17013.0,Carlisle,PA,EE. UU.
19456,Amy,Lindsay,Corporate,1188 Old Abbey,75228.0,Dallas,TX,EE. UU.
19455,Ivory,Parks,Consumer,7004 Hazy Lake Townline,725.0,Caguas,PR,Puerto Rico
19454,Karina,Prince,Consumer,2556 Umber Autoroute,19702.0,Newark,DE,EE. UU.
19453,Deanna,Goff,Consumer,3722 Thunder Cape,91402.0,Panorama City,CA,EE. UU.
19452,Dacey,Walters,Home Office,2676 Velvet Common,725.0,Caguas,PR,Puerto Rico
19451,Adele,Pennington,Home Office,833 Amber Anchor Glen,30318.0,Atlanta,GA,EE. UU.
19450,Sybill,Spencer,Home Office,830 Quaking Bear Grounds,725.0,Caguas,PR,Puerto Rico
19449,Kay,Sandoval,Consumer,1509 Middle Oak Isle,94539.0,Fremont,CA,EE. UU.
19448,Stacy,Mckinney,Corporate,9712 Fallen Robin Diversion,725.0,Caguas,PR,Puerto Rico
19447,Marah,Lara,Corporate,8665 Sunny Deer Woods,14609.0,Rochester,NY,EE. UU.
19446,Taylor,Wood,Corporate,9879 Harvest Deer Farms,75211.0,Dallas,TX,EE. UU.
9083,Mary,Frank,Home Office,75 Sunny Grounds,957.0,Bayamon,PR,Puerto Rico
4741,Mary,Smith,Home Office,9731 Honey Fox Towers,725.0,Caguas,PR,Puerto Rico
639,Elizabeth,Pittman,Home Office,7573 Golden Treasure Centre,725.0,Caguas,PR,Puerto Rico
9702,Katherine,Tyler,Home Office,8369 Sunny Crossing,725.0,Caguas,PR,Puerto Rico
9114,Mary,Smith,Home Office,1425 Fallen Fox Arbor,725.0,Caguas,PR,Puerto Rico
1362,Dennis,Smith,Home Office,2290 Crystal Pathway,725.0,Caguas,PR,Puerto Rico
8011,Mary,Hill,Home Office,6179 Noble Panda Moor,725.0,Caguas,PR,Puerto Rico
3296,Mary,Smith,Home Office,8205 Silver Grove Row,725.0,Caguas,PR,Puerto Rico
3182,Frances,Smith,Home Office,7786 Middle Private,725.0,Caguas,PR,Puerto Rico
7864,Alice,Smith,Home Office,4294 High Passage,725.0,Caguas,PR,Puerto Rico
11169,Kyle,Thomas,Home Office,5274 Easy Beach,725.0,Caguas,PR,Puerto Rico
5197,Brenda,Jordan,Home Office,4692 Jagged Thicket,725.0,Caguas,PR,Puerto Rico
1535,Frank,Livingston,Home Office,5161 Crystal Quail Jetty,725.0,Caguas,PR,Puerto Rico
6122,Johnny,Smith,Home Office,1465 Round Fawn Passage,725.0,Caguas,PR,Puerto Rico
9451,Mary,Smith,Home Office,5723 Cinder Loop,725.0,Caguas,PR,Puerto Rico
542,Mary,Smith,Home Office,2991 Silent Deer Landing,725.0,Caguas,PR,Puerto Rico
11329,Hannah,Smith,Home Office,5086 Emerald Fox Farms,725.0,Caguas,PR,Puerto Rico
3570,Mary,Nelson,Home Office,3909 Hidden Treasure Beach,725.0,Caguas,PR,Puerto Rico
650,Austin,Sexton,Home Office,4691 Cinder Crest,725.0,Caguas,PR,Puerto Rico
9353,Michael,Scott,Home Office,5703 Tawny Creek Townline,725.0,Caguas,PR,Puerto Rico
54,Mary,Olson,Home Office,7333 Cinder Way,725.0,Caguas,PR,Puerto Rico
